Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2019-01-04,169,171.95,168.5,171.15,170.95,17650435,30087.78,
2019-01-03,169,170.15,165.1,165.7,166.05,9321842,15642.68,
2019-01-02,170.6,171.75,168,168.4,168.55,13410104,22776.69,
2019-01-01,173.5,174.2,171.3,174,173.45,6715543,11598.67,
2018-12-31,172.45,173.9,171.75,173.05,172.7,8511388,14707.36,
2018-12-28,169.4,172.2,169.15,171.4,170.85,8669584,14837.87,
2018-12-27,172.75,173.4,167.7,168.05,168.25,15231581,25873.31,
2018-12-26,171.45,172.2,167.6,171.4,170.9,12044191,20473.01,
2018-12-24,176.25,177.85,171.5,172.2,172.5,11374468,19950.85,
2018-12-21,177,180.5,175.15,175.5,176.25,23742481,42294.37,
2018-12-20,173,177.3,171.75,176.15,176.4,15819006,27683.91,
2018-12-19,176.5,176.5,172.5,173.5,173.9,11540042,20121.58,
2018-12-18,174,177.6,173.1,174.7,174.75,18015933,31511.57,
2018-12-17,167.25,175.95,167.25,174.5,173.95,28526103,49523.04,
2018-12-14,166,168.4,164.85,167,166.95,10091732,16850.56,
2018-12-13,166,168,165.55,166.8,166.85,12235499,20418.76,
2018-12-12,159.5,167.1,158,164,164.1,22461175,36743.64,
2018-12-11,155,159.5,154.65,158.25,158.1,12094881,19031.19,
2018-12-10,159.9,160.5,156.5,157.1,157.1,13520495,21405.96,
2018-12-07,162.25,164.2,160.8,162.5,162.4,13545006,22014,
2018-12-06,168.5,168.7,161.6,162.5,162.65,15428019,25425.93,
2018-12-05,173,173,168.6,170.05,169.2,14960527,25528.21,
2018-12-04,177.95,178.75,175.3,175.65,175.75,11481923,20310.76,
2018-12-03,173.25,176.45,170,175.4,175.45,14068885,24513.7,
2018-11-30,172,174.9,170.35,172.15,171.95,18393012,31750.13,
2018-11-29,175.95,179.35,173.45,177.75,177.25,20892744,37005.53,
2018-11-28,181,181.35,174,175.1,174.45,12504717,22052.95,
2018-11-27,181.7,184.55,178.55,180.05,180.05,11639680,21112.18,
2018-11-26,183.9,184.45,177,182,181.75,9865426,17758.79,
2018-11-22,185.5,186.15,181.75,182.5,182.55,9135857,16765.5,
2018-11-21,184.4,186.75,183.75,184.05,184.15,8097107,14964.51,
2018-11-20,184.05,188.3,183.2,183.75,183.75,13114982,24311.51,
2018-11-19,180.6,185.5,179.1,184.8,184.6,14522581,26594.45,
2018-11-16,180.9,181.85,177.85,180.25,179.9,10022823,18010.5,
2018-11-15,178,182.7,177.5,179.8,180.2,18740276,33881.62,
2018-11-14,180.5,183,176.25,176.75,176.8,15795883,28343.11,
2018-11-13,180.75,183,178.35,179.25,179.5,22189598,40037.8,
2018-11-12,194.45,194.45,185.2,186.3,186.05,20789180,39226.58,
2018-11-09,192.9,200.75,192,194.3,195.25,22341961,43985.32,
2018-11-07,194.95,195.75,193.35,194.7,194.85,3932893,7662.39,
2018-11-06,192.45,199.95,191.75,192.25,193.25,35339222,69402.64,
2018-11-05,191.3,191.3,186.65,189.85,189.8,14818506,27973.31,
2018-11-02,180.95,191.85,180.9,189.9,190.3,29425248,55248.49,
2018-11-01,182,186.05,178.2,179.05,179.45,28947802,52680.61,
2018-10-31,178.3,180,173.45,178.65,179.1,12579712,22188.63,
2018-10-30,177,181.5,176.05,177.45,177.25,15602414,27856.46,
2018-10-29,169.95,176.5,167.7,175,175.35,14171750,24603.31,
2018-10-26,166,172.8,165.9,167.8,168.5,19584723,33236.09,
2018-10-25,168.95,169.75,164.6,166.1,165.35,14877057,24784.97,
2018-10-24,173.9,175,169,170.4,170.65,15421903,26376.21,
2018-10-23,170,175.7,169.55,171.3,170.65,15588511,26932.77,
2018-10-22,176.4,176.85,170.05,170.95,170.75,11721075,20196.65,
2018-10-19,178.95,179.75,174,174.7,174.7,10469358,18454.38,
2018-10-17,187.6,187.8,179.1,180,179.95,12004524,21978.15,
2018-10-16,185.2,187.25,184.55,185.75,185.85,9695745,18036.85,
2018-10-15,186.5,186.5,182.7,184.4,184.35,11658409,21487.32,
2018-10-12,185.95,188.4,182.6,183.9,183.75,18014894,33353.7,
2018-10-11,180.65,187.75,178,182.5,182.95,19323517,35665.97,
2018-10-10,186,190.95,185.05,189.25,188.75,35670907,67056.14,
2018-10-09,205.7,206,170.3,184.55,184.35,142760251,263261.7,
